ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
256,2097152,536870912,1.814735262,1.814723391
512,1048576,536870912,1.763351317,1.763333833
1024,524288,536870912,1.727227673,1.727195970
2048,262144,536870912,1.729141488,1.729076877
4096,131072,536870912,1.721536036,1.721409302
8192,65536,536870912,1.717897758,1.717641908
16384,32768,536870912,1.707135017,1.706593584
32768,16384,536870912,1.717938600,1.716800429
65536,8192,536870912,1.715382795,1.713137114
131072,4096,536870912,1.718972333,1.714467059
262144,2048,536870912,1.742694033,1.733687558
524288,1024,536870912,1.758325835,1.741273207
1048576,512,536870912,1.874015544,1.840837513
2097152,256,536870912,1.907500301,1.841435696
4194304,128,536870912,1.967113730,1.835533337
8388608,64,536870912,2.097662422,1.835534556
16777216,32,536870912,2.357242537,1.833309426
33554432,16,536870912,2.868773599,1.822329083
67108864,8,536870912,3.920462568,1.825597568
134217728,4,536870912,6.003238333,1.822405011
268435456,2,536870912,10.273227024,1.872364654
536870912,1,536870912,18.607325203,1.881835362
