ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
256,2097152,536870912,1.894747147,1.894728066
512,1048576,536870912,1.778954475,1.778936903
1024,524288,536870912,1.723622096,1.723588510
2048,262144,536870912,1.720500606,1.720434722
4096,131072,536870912,1.719735699,1.719605514
8192,65536,536870912,1.725327990,1.725066990
16384,32768,536870912,1.715339075,1.714792412
32768,16384,536870912,1.716607039,1.715439320
65536,8192,536870912,1.715191190,1.712902713
131072,4096,536870912,1.716660625,1.712156657
262144,2048,536870912,1.738359206,1.729352975
524288,1024,536870912,1.752396054,1.735296008
1048576,512,536870912,1.863447094,1.830394789
2097152,256,536870912,1.897014474,1.831032835
4194304,128,536870912,1.960002839,1.828679112
8388608,64,536870912,2.101108630,1.838180834
16777216,32,536870912,2.350706926,1.825087867
33554432,16,536870912,2.871113258,1.825487077
67108864,8,536870912,3.919293764,1.828211097
134217728,4,536870912,6.011722509,1.828485255
268435456,2,536870912,10.252576306,1.876511218
536870912,1,536870912,18.636502041,1.874355548
