ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
256,2097152,536870912,1.654715810,1.654701670
512,1048576,536870912,1.546171045,1.546153322
1024,524288,536870912,1.547970851,1.547938912
2048,262144,536870912,1.547332946,1.547266008
4096,131072,536870912,1.544414453,1.544285238
8192,65536,536870912,1.547619314,1.547354215
16384,32768,536870912,1.550772143,1.550224004
32768,16384,536870912,1.553211106,1.552062038
65536,8192,536870912,1.553092318,1.550837808
131072,4096,536870912,1.559806568,1.555289630
262144,2048,536870912,1.559750031,1.550655917
524288,1024,536870912,1.567992360,1.550727970
1048576,512,536870912,1.625126654,1.591743051
2097152,256,536870912,1.728084400,1.661489675
4194304,128,536870912,1.794145165,1.662105736
8388608,64,536870912,1.928722426,1.666031901
16777216,32,536870912,2.188243221,1.664137958
33554432,16,536870912,2.709834873,1.663235073
67108864,8,536870912,3.758860917,1.667504794
134217728,4,536870912,5.844807481,1.662778656
268435456,2,536870912,10.029346661,1.663813875
536870912,1,536870912,18.399362164,1.666415291
