ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
256,2097152,536870912,0.529983446,0.529962844
512,1048576,536870912,0.520226008,0.520201988
1024,524288,536870912,0.504431754,0.504386061
2048,262144,536870912,0.514169099,0.514086415
4096,131072,536870912,0.509798405,0.509630852
8192,65536,536870912,0.499474163,0.499160487
16384,32768,536870912,0.502487289,0.501828149
32768,16384,536870912,0.509328948,0.507953129
65536,8192,536870912,0.515362452,0.512716474
131072,4096,536870912,0.522665760,0.517274414
262144,2048,536870912,0.530266967,0.519633886
524288,1024,536870912,0.571972529,0.550341679
1048576,512,536870912,0.706228616,0.661954512
2097152,256,536870912,0.896399785,0.808619518
4194304,128,536870912,1.097040951,0.914328234
8388608,64,536870912,1.277362902,0.926634189
16777216,32,536870912,1.676557633,0.947548406
33554432,16,536870912,2.336725987,0.921258156
67108864,8,536870912,3.716612585,0.893845760
134217728,4,536870912,6.514322024,0.908025467
268435456,2,536870912,12.105192427,0.903021352
536870912,1,536870912,59.163926306,36.118752778
