ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
256,2097152,536870912,0.431535410,0.431517070
512,1048576,536870912,0.391385032,0.391362971
1024,524288,536870912,0.394474661,0.394432702
2048,262144,536870912,0.373310737,0.373226339
4096,131072,536870912,0.371982027,0.371819123
8192,65536,536870912,0.380817253,0.380475076
16384,32768,536870912,0.387233045,0.386566427
32768,16384,536870912,0.374315005,0.372942646
65536,8192,536870912,0.375843350,0.372978233
131072,4096,536870912,0.389211865,0.383975796
262144,2048,536870912,0.403204485,0.392428180
524288,1024,536870912,0.425830374,0.404559251
1048576,512,536870912,0.488634164,0.445915243
2097152,256,536870912,0.638373002,0.551852822
4194304,128,536870912,0.843523011,0.669676697
8388608,64,536870912,1.063854873,0.710866485
16777216,32,536870912,1.471288229,0.754643498
33554432,16,536870912,2.100708684,0.692191868
67108864,8,536870912,3.496584122,0.700201243
134217728,4,536870912,6.195542985,0.699483167
268435456,2,536870912,11.655386315,0.683016942
536870912,1,536870912,38.569843496,16.184879675
