ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
256,2097152,536870912,0.430358699,0.430341225
512,1048576,536870912,0.396179387,0.396157599
1024,524288,536870912,0.398510187,0.398466575
2048,262144,536870912,0.380799749,0.380717113
4096,131072,536870912,0.412331080,0.412170734
8192,65536,536870912,0.403242093,0.402916252
16384,32768,536870912,0.393122731,0.392483735
32768,16384,536870912,0.394209174,0.392890129
65536,8192,536870912,0.396532271,0.393950661
131072,4096,536870912,0.397909722,0.392651858
262144,2048,536870912,0.401050430,0.390663542
524288,1024,536870912,0.415233621,0.394210699
1048576,512,536870912,0.463773864,0.421668449
2097152,256,536870912,0.580253491,0.495236800
4194304,128,536870912,0.782485915,0.611109681
8388608,64,536870912,1.003116231,0.661297881
16777216,32,536870912,1.364313412,0.680501747
33554432,16,536870912,2.056978510,0.681810943
67108864,8,536870912,3.448964900,0.686772043
134217728,4,536870912,6.170817815,0.680632663
268435456,2,536870912,11.617080420,0.690026233
536870912,1,536870912,38.837401248,16.439905435
