ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
256,2097152,536870912,0.720813095,0.720788624
512,1048576,536870912,0.693610745,0.693586840
1024,524288,536870912,0.645546264,0.645501804
2048,262144,536870912,0.642429303,0.642344830
4096,131072,536870912,0.629106020,0.628934141
8192,65536,536870912,0.636453186,0.636126708
16384,32768,536870912,0.652987282,0.652315182
32768,16384,536870912,0.644227470,0.642837935
65536,8192,536870912,0.649021627,0.646324426
131072,4096,536870912,0.662407811,0.656804805
262144,2048,536870912,0.661466823,0.650785537
524288,1024,536870912,0.726697846,0.704855671
1048576,512,536870912,0.840934499,0.796221952
2097152,256,536870912,1.062672312,0.974981314
4194304,128,536870912,1.236505803,1.060740294
8388608,64,536870912,1.444081962,1.088972026
16777216,32,536870912,1.796944078,1.089108191
33554432,16,536870912,2.495009130,1.080687482
67108864,8,536870912,3.949792484,1.112024979
134217728,4,536870912,6.727055014,1.069174108
268435456,2,536870912,12.409660900,1.073276607
536870912,1,536870912,82.719672871,58.903938681
