Threads,Iter,Interp,Mover,Total
1,1,0.295959,0.232182,0.528142
1,2,0.295893,0.233845,0.529738
1,3,0.296151,0.232816,0.528967
1,4,0.296313,0.233253,0.529566
1,5,0.296372,0.232636,0.529007
1,6,0.279594,0.222395,0.501989
1,7,0.283111,0.219961,0.503072
1,8,0.278556,0.219929,0.498485
1,9,0.280456,0.220156,0.500612
1,10,0.278313,0.220272,0.498584
2,1,0.279835,0.125791,0.405626
2,2,0.279787,0.125375,0.405162
2,3,0.278503,0.125316,0.403820
2,4,0.278220,0.125413,0.403633
2,5,0.278617,0.125454,0.404071
2,6,0.278287,0.125636,0.403923
2,7,0.278752,0.126136,0.404888
2,8,0.280415,0.125394,0.405808
2,9,0.280766,0.125420,0.406186
2,10,0.278597,0.125565,0.404162
4,1,0.278562,0.076738,0.355300
4,2,0.278935,0.076720,0.355656
4,3,0.278627,0.076679,0.355306
4,4,0.278763,0.076769,0.355533
4,5,0.278448,0.076742,0.355190
4,6,0.278833,0.076791,0.355624
4,7,0.278365,0.076874,0.355238
4,8,0.278722,0.076913,0.355635
4,9,0.278542,0.076980,0.355522
4,10,0.278203,0.076956,0.355159
8,1,0.278434,0.056122,0.334557
8,2,0.278500,0.055995,0.334494
8,3,0.278738,0.055960,0.334698
8,4,0.278647,0.055996,0.334643
8,5,0.278635,0.055913,0.334548
8,6,0.279032,0.053593,0.332625
8,7,0.278514,0.053654,0.332168
8,8,0.278411,0.053586,0.331997
8,9,0.278616,0.053605,0.332222
8,10,0.278380,0.053826,0.332206
16,1,0.278200,0.060242,0.338442
16,2,0.278324,0.062395,0.340719
16,3,0.297463,0.063602,0.361065
16,4,0.296757,0.075683,0.372440
16,5,0.278783,0.062149,0.340933
16,6,0.279106,0.072172,0.351278
16,7,0.297310,0.071928,0.369238
16,8,0.276127,0.097951,0.374079
16,9,0.307451,0.102456,0.409907
16,10,0.307875,0.101115,0.408990
