Threads,Iter,Interp,Mover,Total
1,1,0.108813,0.103520,0.212333
1,2,0.109254,0.103336,0.212591
1,3,0.109092,0.101345,0.210437
1,4,0.106784,0.103186,0.209970
1,5,0.105242,0.102854,0.208096
1,6,0.107393,0.104881,0.212275
1,7,0.110669,0.104021,0.214689
1,8,0.106818,0.099960,0.206777
1,9,0.114235,0.103260,0.217494
1,10,0.112061,0.114658,0.226719
2,1,0.106764,0.058906,0.165670
2,2,0.110189,0.057413,0.167602
2,3,0.106669,0.056424,0.163093
2,4,0.108673,0.057333,0.166005
2,5,0.107583,0.056200,0.163783
2,6,0.106916,0.056472,0.163389
2,7,0.108009,0.057778,0.165787
2,8,0.110302,0.055891,0.166193
2,9,0.111255,0.056170,0.167425
2,10,0.109015,0.058365,0.167380
4,1,0.105009,0.039216,0.144226
4,2,0.108502,0.037977,0.146479
4,3,0.108525,0.038730,0.147254
4,4,0.106041,0.037804,0.143845
4,5,0.106332,0.037524,0.143856
4,6,0.107654,0.039012,0.146666
4,7,0.105620,0.038112,0.143731
4,8,0.107151,0.038047,0.145198
4,9,0.109129,0.037659,0.146788
4,10,0.107459,0.040060,0.147519
8,1,0.105114,0.038636,0.143750
8,2,0.106978,0.037891,0.144868
8,3,0.108703,0.038534,0.147238
8,4,0.110528,0.038239,0.148767
8,5,0.106290,0.037994,0.144284
8,6,0.107221,0.038567,0.145788
8,7,0.106772,0.038090,0.144862
8,8,0.107934,0.037682,0.145617
8,9,0.106713,0.041591,0.148304
8,10,0.107690,0.037087,0.144776
16,1,0.105139,0.038687,0.143827
16,2,0.107172,0.039434,0.146606
16,3,0.105808,0.038145,0.143953
16,4,0.106278,0.038269,0.144547
16,5,0.104745,0.038158,0.142903
16,6,0.105302,0.038925,0.144227
16,7,0.107501,0.039508,0.147009
16,8,0.106540,0.039080,0.145620
16,9,0.104650,0.038614,0.143264
16,10,0.105990,0.038686,0.144676
