Threads,Iter,Interp,Mover,Total
1,1,0.296322,0.166678,0.463000
1,2,0.295671,0.166550,0.462221
1,3,0.295863,0.166426,0.462289
1,4,0.295725,0.166138,0.461863
1,5,0.295615,0.167023,0.462638
1,6,0.295305,0.166185,0.461490
1,7,0.295379,0.166487,0.461866
1,8,0.295546,0.166640,0.462186
1,9,0.295681,0.166049,0.461730
1,10,0.296046,0.166196,0.462242
2,1,0.295585,0.083816,0.379401
2,2,0.295726,0.083553,0.379279
2,3,0.296215,0.083598,0.379813
2,4,0.296011,0.083513,0.379524
2,5,0.295298,0.083541,0.378839
2,6,0.295470,0.083431,0.378901
2,7,0.295281,0.083475,0.378756
2,8,0.295591,0.084247,0.379838
2,9,0.299401,0.088738,0.388139
2,10,0.298152,0.088680,0.386832
4,1,0.298406,0.046211,0.344617
4,2,0.298075,0.046074,0.344149
4,3,0.297861,0.046121,0.343982
4,4,0.298175,0.046171,0.344346
4,5,0.299312,0.046907,0.346219
4,6,0.299818,0.046417,0.346235
4,7,0.300833,0.046551,0.347384
4,8,0.300424,0.046377,0.346801
4,9,0.301068,0.046290,0.347358
4,10,0.300010,0.046281,0.346291
8,1,0.299970,0.031059,0.331029
8,2,0.299663,0.031070,0.330733
8,3,0.299552,0.031247,0.330799
8,4,0.299877,0.031058,0.330935
8,5,0.299726,0.031009,0.330735
8,6,0.299927,0.030927,0.330854
8,7,0.299546,0.031182,0.330728
8,8,0.299934,0.030788,0.330722
8,9,0.299808,0.030864,0.330672
8,10,0.299830,0.031084,0.330914
16,1,0.299505,0.035202,0.334707
16,2,0.372425,0.033608,0.406033
16,3,0.375062,0.032524,0.407586
16,4,0.373583,0.035720,0.409303
16,5,0.299098,0.033655,0.332753
16,6,0.373699,0.034137,0.407836
16,7,0.373016,0.033968,0.406984
16,8,0.314261,0.035609,0.349870
16,9,0.300579,0.033748,0.334327
16,10,0.300746,0.033776,0.334522
