Threads,Iter,Interp,Mover,Total
1,1,0.107669,0.093637,0.201306
1,2,0.107172,0.085129,0.192301
1,3,0.106358,0.085245,0.191603
1,4,0.109136,0.088911,0.198047
1,5,0.111138,0.086426,0.197564
1,6,0.108991,0.086035,0.195026
1,7,0.108723,0.083222,0.191945
1,8,0.104833,0.083288,0.188121
1,9,0.104940,0.083159,0.188099
1,10,0.109489,0.085649,0.195138
2,1,0.106152,0.042160,0.148312
2,2,0.106341,0.042700,0.149041
2,3,0.105583,0.043874,0.149457
2,4,0.106143,0.041999,0.148142
2,5,0.106353,0.044460,0.150813
2,6,0.104959,0.041322,0.146281
2,7,0.106373,0.041534,0.147907
2,8,0.106519,0.042536,0.149055
2,9,0.104871,0.043128,0.147999
2,10,0.105577,0.041927,0.147504
4,1,0.106454,0.025319,0.131773
4,2,0.107555,0.024620,0.132175
4,3,0.106340,0.024438,0.130778
4,4,0.107106,0.024363,0.131469
4,5,0.108232,0.024218,0.132450
4,6,0.107066,0.025629,0.132695
4,7,0.105523,0.023830,0.129353
4,8,0.110797,0.024533,0.135330
4,9,0.106932,0.024677,0.131609
4,10,0.109326,0.024458,0.133784
8,1,0.106108,0.024406,0.130514
8,2,0.107067,0.025123,0.132190
8,3,0.106089,0.023625,0.129714
8,4,0.106350,0.024657,0.131007
8,5,0.106113,0.024152,0.130265
8,6,0.106328,0.024530,0.130858
8,7,0.107356,0.024311,0.131667
8,8,0.105768,0.024531,0.130299
8,9,0.105105,0.023894,0.128999
8,10,0.109159,0.024057,0.133216
16,1,0.105121,0.024907,0.130028
16,2,0.105351,0.025320,0.130671
16,3,0.099241,0.024992,0.124233
16,4,0.102105,0.025832,0.127937
16,5,0.102184,0.024784,0.126968
16,6,0.104839,0.024835,0.129674
16,7,0.102093,0.025456,0.127549
16,8,0.102080,0.025142,0.127222
16,9,0.102503,0.026444,0.128947
16,10,0.102063,0.025481,0.127544
