Threads,Iter,Interp,Mover,Total
1,1,0.292047,0.192390,0.484436
1,2,0.292668,0.192334,0.485002
1,3,0.292411,0.192228,0.484638
1,4,0.291959,0.193003,0.484962
1,5,0.292218,0.192136,0.484354
1,6,0.291975,0.192550,0.484525
1,7,0.292596,0.192036,0.484632
1,8,0.292151,0.191942,0.484093
1,9,0.296784,0.193746,0.490531
1,10,0.295574,0.194170,0.489744
2,1,0.296412,0.100606,0.397018
2,2,0.295365,0.100430,0.395795
2,3,0.295116,0.100452,0.395568
2,4,0.295191,0.100486,0.395677
2,5,0.295074,0.100837,0.395912
2,6,0.296922,0.100376,0.397299
2,7,0.296619,0.100428,0.397046
2,8,0.295489,0.100446,0.395935
2,9,0.295062,0.100424,0.395486
2,10,0.295026,0.101202,0.396228
4,1,0.296289,0.052160,0.348449
4,2,0.296624,0.052339,0.348964
4,3,0.296478,0.052232,0.348710
4,4,0.296024,0.052135,0.348159
4,5,0.295175,0.052388,0.347564
4,6,0.295246,0.052242,0.347488
4,7,0.295566,0.052140,0.347706
4,8,0.319871,0.052224,0.372095
4,9,0.320068,0.052311,0.372380
4,10,0.320397,0.052315,0.372712
8,1,0.295327,0.029125,0.324453
8,2,0.295532,0.029290,0.324822
8,3,0.294473,0.029048,0.323522
8,4,0.294658,0.029062,0.323720
8,5,0.295597,0.029001,0.324598
8,6,0.295800,0.029450,0.325250
8,7,0.295150,0.029393,0.324543
8,8,0.295069,0.029058,0.324127
8,9,0.294495,0.029046,0.323541
8,10,0.294089,0.029334,0.323422
16,1,0.321311,0.034763,0.356074
16,2,0.296315,0.034077,0.330391
16,3,0.293146,0.033061,0.326207
16,4,0.294404,0.033796,0.328200
16,5,0.320831,0.034622,0.355453
16,6,0.292570,0.033164,0.325734
16,7,0.292429,0.033174,0.325603
16,8,0.292355,0.032813,0.325168
16,9,0.292293,0.031813,0.324106
16,10,0.292288,0.033101,0.325389
