Threads,Iter,Interp,Mover,Total
1,1,0.063052,0.087782,0.150833
1,2,0.068952,0.095295,0.164247
1,3,0.065789,0.095582,0.161371
1,4,0.066314,0.093937,0.160251
1,5,0.065071,0.103527,0.168598
1,6,0.066333,0.096219,0.162552
1,7,0.065438,0.085537,0.150975
1,8,0.061189,0.088019,0.149208
1,9,0.060997,0.085790,0.146787
1,10,0.061436,0.085488,0.146924
2,1,0.061867,0.043723,0.105591
2,2,0.061239,0.045093,0.106332
2,3,0.065105,0.047464,0.112569
2,4,0.064198,0.043322,0.107520
2,5,0.066893,0.043699,0.110592
2,6,0.064813,0.047051,0.111864
2,7,0.062889,0.045807,0.108696
2,8,0.068263,0.047462,0.115725
2,9,0.063693,0.048430,0.112123
2,10,0.062690,0.049912,0.112602
4,1,0.061769,0.025085,0.086854
4,2,0.062665,0.025122,0.087787
4,3,0.063773,0.025530,0.089302
4,4,0.061712,0.024538,0.086250
4,5,0.062283,0.025453,0.087736
4,6,0.062286,0.024318,0.086605
4,7,0.066111,0.025756,0.091866
4,8,0.061804,0.025619,0.087423
4,9,0.063071,0.027682,0.090753
4,10,0.061845,0.024577,0.086422
8,1,0.068279,0.024905,0.093184
8,2,0.062519,0.024326,0.086846
8,3,0.062865,0.024153,0.087018
8,4,0.062672,0.024190,0.086862
8,5,0.064459,0.025050,0.089510
8,6,0.062603,0.024477,0.087081
8,7,0.062531,0.024512,0.087043
8,8,0.062399,0.024279,0.086678
8,9,0.069516,0.024501,0.094017
8,10,0.064483,0.023444,0.087927
16,1,0.061567,0.025537,0.087104
16,2,0.066348,0.025497,0.091845
16,3,0.065737,0.026337,0.092075
16,4,0.061183,0.025536,0.086719
16,5,0.061195,0.025404,0.086599
16,6,0.062242,0.024931,0.087172
16,7,0.063661,0.024984,0.088644
16,8,0.064049,0.026256,0.090305
16,9,0.062432,0.026591,0.089022
16,10,0.063942,0.025013,0.088955
