mpi,omp,interp,reduce,broadcast,norm,mover,denorm,total
1,2,5.801312,0.001251,0.000016,0.006840,7.516787,0.003155,13.330719
2,1,3.045597,0.010364,0.002043,0.007275,3.944647,0.003222,7.014549
1,4,5.832627,0.001225,0.000020,0.006825,7.546552,0.003140,13.391749
2,2,3.154025,0.024635,0.002044,0.007325,4.085719,0.003348,7.278683
4,1,1.496871,0.026036,0.002289,0.007214,1.932625,0.003231,3.469694
1,8,6.189409,0.001379,0.000007,0.007200,7.914253,0.003268,14.116906
2,4,2.848280,0.017349,0.001835,0.006689,3.690287,0.003056,6.569789
4,2,1.420054,0.026892,0.002090,0.007022,1.846216,0.003047,3.306483
8,1,0.768221,0.059806,0.002486,0.007482,0.993099,0.003342,1.836484
1,16,5.695351,0.001183,0.000016,0.006685,7.363510,0.003057,13.071129
2,8,2.855492,0.007938,0.001869,0.006687,3.691072,0.003056,6.567914
4,4,1.421109,0.036027,0.002197,0.007196,1.850606,0.003039,3.322507
8,2,0.769642,0.056941,0.002537,0.007565,0.997273,0.003349,1.839397
16,1,0.425062,0.090470,0.004955,0.008625,0.538574,0.003707,1.077904
1,32,5.691240,0.001190,0.000013,0.006696,7.358556,0.003061,13.062078
2,16,2.857183,0.008896,0.001856,0.006685,3.692905,0.003096,6.572450
4,8,1.418813,0.028225,0.002113,0.006783,1.846556,0.003037,3.306708
8,4,0.768175,0.060417,0.002486,0.007385,0.992767,0.003394,1.837089
16,2,0.435076,0.067977,0.004921,0.009136,0.557586,0.003733,1.082908
32,1,0.219337,0.743130,0.050539,0.008288,0.270160,0.003695,1.337022
1,64,5.694894,0.001199,0.000019,0.006698,7.364841,0.003063,13.072080
2,32,2.863539,0.007082,0.001871,0.006806,3.718367,0.003040,6.601940
4,16,1.420120,0.027298,0.002110,0.007104,1.844565,0.003047,3.305420
8,8,0.768007,0.060655,0.002584,0.007398,0.992064,0.003340,1.836252
16,4,0.432439,0.280792,0.004440,0.008519,0.551540,0.003753,1.285284
32,2,0.282295,0.610133,0.085852,0.008463,0.327614,0.003755,1.381096
64,1,0.133714,0.552368,0.073078,0.009748,0.155570,0.003707,0.956472
